CJ_HeightDiff,CJ_Gracew,CJ_Fw,CJ_Sw,CJ_Dw,CJ_Frame,CJ_PosZ,CJ_PosX,,SJ_HeightDiff,SJ_Gracew,SJ_Fw,SJ_Frame,SJ_PosZ,SJ_PosX,,
-1480,11,62,62,82,266,-1545.662778,2236.341667,,-1480,11,96,191,-1545.902795,2358.173083,,121.8314167
-1490,11,61,63,81,267,-1555.96486,2240.878,,-1490,11,97,191,-1551.319461,2361.214833,,120.3368333
-1500,11,61,62,82,267,-1564.986442,2245.157667,,-1500,11,99,191,-1564.652795,2367.298333,,122.1406667
-1510,11,62,61,81,268,-1575.705193,2249.694,,-1510,11,97,192,-1575.329128,2371.506417,,121.8124167
-1520,11,61,61,82,268,-1585.560107,2253.973667,,-1520,11,98,192,-1581.162461,2374.548167,,120.5745
-1530,11,62,63,82,269,-1595.50578,2258.491,,-1530,11,100,192,-1595.329128,2380.631667,,122.1406667
-1540,11,61,63,83,269,-1605.71486,2262.770667,,-1540,11,98,193,-1605.172128,2384.83975,,122.0690833
-1550,11,62,62,82,270,-1615.662778,2267.307,,-1550,11,99,193,-1611.422128,2387.8815,,120.5745
-1560,11,61,62,83,270,-1625.871859,2271.586667,,-1560,11,97,194,-1624.598462,2392.089583,,120.5029167
-1570,11,63,63,83,271,-1635.817532,2276.104,,-1570,11,99,194,-1635.431795,2398.173083,,122.0690833
-1580,11,62,63,84,271,-1645.964113,2280.383667,,-1580,11,100,194,-1642.098461,2401.214833,,120.8311667
-1590,11,63,62,83,272,-1655.97453,2284.92,,-1590,11,98,195,-1654.441462,2405.422917,,120.5029167
-1600,11,62,64,82,273,-1665.973781,2288.381667,,-1600,11,99,195,-1659.858128,2408.464667,,120.083
-1610,11,62,63,83,273,-1674.932863,2292.661333,,-1610,11,101,195,-1673.191461,2414.548167,,121.8868333
-1620,11,64,64,83,274,-1685.295201,2297.178667,,-1620,11,99,196,-1684.701128,2418.75625,,121.5775833
-1630,11,63,64,84,274,-1695.025116,2301.458333,,-1630,11,100,196,-1690.534462,2421.798,,120.3396667
-1640,11,64,63,83,275,-1705.868867,2305.994667,,-1640,11,102,196,-1704.701128,2427.8815,,121.8868333
-1650,11,63,63,84,275,-1715.598782,2310.274333,,-1650,11,100,197,-1715.377462,2432.089583,,121.81525
-1660,11,63,62,85,275,-1725.682863,2314.554,,-1660,11,101,197,-1721.627462,2435.131333,,120.5773333
-1670,11,62,64,84,276,-1735.390447,2318.015667,,-1670,11,99,198,-1735.637128,2439.339417,,121.32375
-1680,11,64,65,84,277,-1745.336119,2322.533,,-1680,11,104,197,-1745.377461,2444.256583,,121.7235833
-1690,11,63,65,85,277,-1755.420201,2326.812667,,-1690,11,102,198,-1753.137128,2448.464667,,121.652
-1700,11,63,64,86,277,-1765.025116,2331.092333,,-1700,11,103,198,-1760.637128,2451.506417,,120.4140833
-1710,11,64,63,85,278,-1775.993867,2335.628667,,-1710,11,101,199,-1771.730128,2455.7145,,120.0858333
-1720,11,64,64,84,279,-1785.701451,2339.090333,,-1720,11,103,199,-1785.063462,2461.798,,122.7076667
-1730,11,63,64,85,279,-1795.785533,2343.37,,-1730,11,104,199,-1792.980128,2464.83975,,121.46975
-1740,11,65,65,85,280,-1805.731203,2347.887333,,-1740,11,102,200,-1803.239795,2469.047833,,121.1605
-1750,11,64,65,86,280,-1815.752785,2352.167,,-1750,11,103,200,-1809.906462,2472.089583,,119.9225833
-1760,11,64,64,87,280,-1825.711868,2356.446667,,-1760,11,105,200,-1825.739795,2478.173083,,121.7264167
-1770,11,63,66,86,281,-1835.961118,2359.908333,,-1770,11,103,201,-1835.166128,2482.381167,,122.4728333
-1780,11,63,65,87,281,-1845.503534,2364.188,,-1780,11,104,201,-1842.249462,2485.422917,,121.2349167
-1790,11,63,64,88,281,-1855.816783,2368.467667,,-1790,11,102,202,-1855.009128,2489.631,,121.1633333
-1800,11,66,66,86,283,-1865.281788,2372.167,,-1800,11,103,202,-1860.842462,2492.67275,,120.50575
-1810,11,65,66,87,283,-1875.240871,2376.446667,,-1810,11,105,202,-1875.009128,2498.75625,,122.3095833
-1820,11,64,66,88,283,-1885.970786,2380.726333,,-1820,11,106,202,-1883.342462,2501.798,,121.0716667
-1830,11,65,64,89,283,-1895.804869,2385.006,,-1830,11,104,203,-1893.185462,2506.006083,,121.0000833
-1840,11,64,66,88,284,-1904.92912,2388.467667,,-1840,11,105,203,-1900.268795,2509.047833,,120.5801667
-1850,11,64,65,89,284,-1915.179869,2392.747333,,-1850,11,103,204,-1913.445128,2513.255917,,120.5085833
-1860,11,63,67,88,285,-1925.970785,2396.209,,-1860,11,105,204,-1925.945128,2519.339417,,123.1304167
-1870,11,66,67,88,286,-1935.916456,2400.726333,,-1870,11,106,204,-1933.445128,2522.381167,,121.6548333
-1880,11,66,66,89,286,-1945.750538,2405.006,,-1880,11,104,205,-1945.788128,2526.58925,,121.58325
-1890,11,66,67,88,287,-1954.874789,2408.467667,,-1890,11,105,205,-1952.038128,2529.631,,121.1633333
-1900,11,65,67,89,287,-1965.542205,2412.747333,,-1900,11,106,205,-1959.121462,2532.67275,,119.9254167
-1910,11,65,66,90,287,-1975.730454,2417.027,,-1910,11,108,205,-1975.788128,2538.75625,,121.72925
-1920,11,65,67,89,288,-1984.917205,2420.488667,,-1920,11,106,206,-1985.214462,2542.964333,,122.4756667
-1930,11,65,66,90,288,-1995.105454,2424.768333,,-1930,11,107,206,-1992.714462,2546.006083,,121.23775
